name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,19918502302,1684586.0944389794,593
std:sync::RwLock<BTreeMap>,33554432,2,27434708789,1223064.996172065,1635
std:sync::RwLock<BTreeMap>,33554432,4,74739617635,448951.0792504605,8909
std:sync::RwLock<BTreeMap>,33554432,6,82709984987,405687.80184489145,14789
std:sync::RwLock<BTreeMap>,33554432,8,50017255972,670857.1141684381,11925
std:sync::RwLock<BTreeMap>,33554432,10,43660502466,768530.5964156056,13011
std:sync::RwLock<BTreeMap>,33554432,12,29478622743,1138263.2184866183,10542
std:sync::RwLock<BTreeMap>,33554432,14,29874675208,1123173.1145654302,12464
std:sync::RwLock<BTreeMap>,33554432,16,29020865834,1156217.4675260242,13838
std::sync::RwLock<StdHashMap>,33554432,1,2854312882,11755695.113735609,85
std::sync::RwLock<StdHashMap>,33554432,2,6030860627,5563788.333919991,359
std::sync::RwLock<StdHashMap>,33554432,4,10565576347,3175825.9935841053,1259
std::sync::RwLock<StdHashMap>,33554432,6,13381731854,2507480.5239031957,2392
std::sync::RwLock<StdHashMap>,33554432,8,14973438666,2240930.2731637475,3569
std::sync::RwLock<StdHashMap>,33554432,10,15796987081,2124103.2753871125,4707
std::sync::RwLock<StdHashMap>,33554432,12,16532009384,2029664.4661038383,5912
std::sync::RwLock<StdHashMap>,33554432,14,16635606792,2017024.8323094652,6940
std::sync::RwLock<StdHashMap>,33554432,16,16645745156,2015796.3302655285,7937
DashMap,33554432,1,2796097596,12000450.93132722,83
DashMap,33554432,2,1734423043,19346163.63373581,103
DashMap,33554432,4,1038560621,32308592.605496064,123
DashMap,33554432,6,774631437,43316641.17576989,138
DashMap,33554432,8,666382027,50353146.75436167,158
DashMap,33554432,10,587501767,57113755.02977849,175
DashMap,33554432,12,539605552,62183259.37461814,192
DashMap,33554432,14,498207232,67350351.10851221,207
DashMap,33554432,16,479519909,69975054.98775859,228
Papaya,33554432,1,4386350171,7649738.5507072415,130
Papaya,33554432,2,2549160740,13162932.989466956,151
Papaya,33554432,4,1291851010,25973917.843668364,154
Papaya,33554432,6,903027416,37157711.278170094,161
Papaya,33554432,8,697275186,48122223.009955205,166
Papaya,33554432,10,634726101,52864427.58086609,189
Papaya,33554432,12,523486220,64098023.439852916,187
Papaya,33554432,14,496094080,67637235.25989264,206
Papaya,33554432,16,423353780,79258609.66683704,201
SccMap,33554432,1,4309069756,7786931.727730426,128
SccMap,33554432,2,2214299543,15153519.8144599,131
SccMap,33554432,4,1162520482,28863518.98271329,138
SccMap,33554432,6,803714954,41749169.69381162,143
SccMap,33554432,8,619725294,54144041.440399885,147
SccMap,33554432,10,495445617,67725762.11931652,147
SccMap,33554432,12,421501580,79606894.94924313,150
SccMap,33554432,14,362502778,92563240.991218,151
SccMap,33554432,16,331986644,101071632.2672306,158
SccIndex,33554432,1,5276287422,6359477.662284183,157
SccIndex,33554432,2,2678340392,12528068.53834731,159
SccIndex,33554432,4,1423318688,23574784.960597664,169
SccIndex,33554432,6,998935404,33590191.984025426,178
SccIndex,33554432,8,713434889,47032227.49175083,170
SccIndex,33554432,10,577681623,58084645.00869192,172
SccIndex,33554432,12,512229741,65506606.34131356,183
SccIndex,33554432,14,442672479,75799679.42845617,184
SccIndex,33554432,16,402857833,83291000.57488519,192
