name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,19602925704,1711705.3090270692,584
std:sync::RwLock<BTreeMap>,33554432,2,26835054992,1250395.4998416498,1599
std:sync::RwLock<BTreeMap>,33554432,4,57319467263,585393.2983368733,6833
std:sync::RwLock<BTreeMap>,33554432,6,88196728708,380449.84764788,15770
std:sync::RwLock<BTreeMap>,33554432,8,51843683011,647223.1533566114,12360
std:sync::RwLock<BTreeMap>,33554432,10,45665243434,734791.4842170116,13609
std:sync::RwLock<BTreeMap>,33554432,12,31203495333,1075342.0936312128,11159
std:sync::RwLock<BTreeMap>,33554432,14,29884728590,1122795.2731425492,12468
std:sync::RwLock<BTreeMap>,33554432,16,29184386686,1149739.1519999406,13916
std::sync::RwLock<StdHashMap>,33554432,1,2813023840,11928243.025483921,83
std::sync::RwLock<StdHashMap>,33554432,2,7632112942,4396480.012153363,454
std::sync::RwLock<StdHashMap>,33554432,4,10060782087,3335171.332590259,1199
std::sync::RwLock<StdHashMap>,33554432,6,13272766527,2528066.167045296,2373
std::sync::RwLock<StdHashMap>,33554432,8,14611485264,2296442.2434639083,3483
std::sync::RwLock<StdHashMap>,33554432,10,15784099029,2125837.6508124224,4704
std::sync::RwLock<StdHashMap>,33554432,12,16037466318,2092252.6872177715,5735
std::sync::RwLock<StdHashMap>,33554432,14,16153180241,2077264.755260524,6739
std::sync::RwLock<StdHashMap>,33554432,16,16161289390,2076222.4591289246,7706
DashMap,33554432,1,2708525727,12388448.692036366,80
DashMap,33554432,2,1624024908,20661279.168016307,96
DashMap,33554432,4,1024886618,32739652.768107466,122
DashMap,33554432,6,783310833,42836675.53975983,140
DashMap,33554432,8,656640930,51100122.55861053,156
DashMap,33554432,10,568987018,58972227.728401355,169
DashMap,33554432,12,532627141,62997976.28975877,190
DashMap,33554432,14,489231675,68585976.16354257,204
DashMap,33554432,16,487834817,68782364.09272116,232
Papaya,33554432,1,4673011112,7180473.402649165,139
Papaya,33554432,2,2338149656,14350848.720865624,139
Papaya,33554432,4,1315962975,25498006.127414033,156
Papaya,33554432,6,943563476,35561393.43401206,168
Papaya,33554432,8,714962777,46931718.79631994,170
Papaya,33554432,10,580027366,57849739.45522425,172
Papaya,33554432,12,522380276,64233726.92578461,186
Papaya,33554432,14,437832634,76637576.5402631,182
Papaya,33554432,16,415598736,80737569.90444744,198
SccMap,33554432,1,4568054384,7345453.705088814,136
SccMap,33554432,2,2364482271,14191027.10624638,140
SccMap,33554432,4,1176076305,28530829.04344374,140
SccMap,33554432,6,804597862,41703357.148617424,143
SccMap,33554432,8,641571139,52300407.48450813,152
SccMap,33554432,10,521924325,64289841.2523693,155
SccMap,33554432,12,456190582,73553539.51607883,163
SccMap,33554432,14,432597726,77564975.45712942,180
SccMap,33554432,16,404260521,83002000.58367807,192
SccIndex,33554432,1,5482587227,6120182.061993484,163
SccIndex,33554432,2,2777856755,12079252.085120566,165
SccIndex,33554432,4,1400850184,23952905.445026517,166
SccIndex,33554432,6,965629404,34748767.86167129,172
SccIndex,33554432,8,768994712,43634151.80415441,183
SccIndex,33554432,10,624759127,53707790.01040508,186
SccIndex,33554432,12,518328036,64735900.181945786,185
SccIndex,33554432,14,453001772,74071304.07428075,189
SccIndex,33554432,16,420272993,79839610.34584014,200
