name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,18094006256,1854450.1159809923,539
std:sync::RwLock<BTreeMap>,33554432,2,24366294013,1377083.933326008,1452
std:sync::RwLock<BTreeMap>,33554432,4,71890026898,466746.6886277308,8569
std:sync::RwLock<BTreeMap>,33554432,6,84714362018,396089.0597614416,15148
std:sync::RwLock<BTreeMap>,33554432,8,50333857030,666637.4082955908,12000
std:sync::RwLock<BTreeMap>,33554432,10,44348635202,756605.7410147041,13216
std:sync::RwLock<BTreeMap>,33554432,12,31978070403,1049295.0818212007,11436
std:sync::RwLock<BTreeMap>,33554432,14,30230381134,1109957.2926740726,12613
std:sync::RwLock<BTreeMap>,33554432,16,29639612835,1132080.644467028,14133
std::sync::RwLock<StdHashMap>,33554432,1,4062242347,8260076.36515833,121
std::sync::RwLock<StdHashMap>,33554432,2,7943765934,4223995.5556072155,473
std::sync::RwLock<StdHashMap>,33554432,4,10980080088,3055936.9085723925,1308
std::sync::RwLock<StdHashMap>,33554432,6,13771603337,2436494.2250296823,2462
std::sync::RwLock<StdHashMap>,33554432,8,15867945378,2114604.707835792,3783
std::sync::RwLock<StdHashMap>,33554432,10,17019994661,1971471.3587359334,5072
std::sync::RwLock<StdHashMap>,33554432,12,17448360863,1923070.7264401903,6240
std::sync::RwLock<StdHashMap>,33554432,14,17835120589,1881368.3839454977,7441
std::sync::RwLock<StdHashMap>,33554432,16,17776685192,1887552.8051259199,8476
DashMap,33554432,1,4333641307,7742780.175599799,129
DashMap,33554432,2,2485512686,13500004.320637776,148
DashMap,33554432,4,1402839514,23918938.456705034,167
DashMap,33554432,6,1065423091,31493997.345698602,190
DashMap,33554432,8,885609270,37888528.42518236,211
DashMap,33554432,10,751239328,44665435.83298663,223
DashMap,33554432,12,674704354,49732051.97368565,241
DashMap,33554432,14,608787498,55116821.73210462,254
DashMap,33554432,16,564259071,59466358.14030184,269
Papaya,33554432,1,5277121285,6358472.771011933,157
Papaya,33554432,2,2727001404,12304515.850553628,162
Papaya,33554432,4,1472196898,22792081.71514569,175
Papaya,33554432,6,1042144329,32197490.372756228,186
Papaya,33554432,8,818180223,41011052.40232628,195
Papaya,33554432,10,664923505,50463597.312596135,198
Papaya,33554432,12,587422844,57121428.5292589,210
Papaya,33554432,14,625278384,53663188.84293944,260
Papaya,33554432,16,516201922,65002532.09053336,246
SccMap,33554432,1,4995954270,6716320.884178149,148
SccMap,33554432,2,2533550423,13244035.601339204,151
SccMap,33554432,4,1349488172,24864561.762161188,160
SccMap,33554432,6,969522990,34609217.46682871,173
SccMap,33554432,8,708995216,47326739.648973875,169
SccMap,33554432,10,580093410,57843153.22596062,172
SccMap,33554432,12,494176341,67899713.5558944,176
SccMap,33554432,14,426133303,78741632.63883649,177
SccMap,33554432,16,382329579,87763107.65116084,182
SccIndex,33554432,1,6269446708,5352056.33970595,186
SccIndex,33554432,2,3206535623,10464387.720915707,191
SccIndex,33554432,4,1634036195,20534693.23548246,194
SccIndex,33554432,6,1108434617,30271909.127861533,198
SccIndex,33554432,8,852192715,39374230.04138213,203
SccIndex,33554432,10,686559162,48873329.28782618,204
SccIndex,33554432,12,582190812,57634767.344971426,208
SccIndex,33554432,14,537081521,62475491.49992074,224
SccIndex,33554432,16,469298002,71499200.62945421,223
