name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,15942814839,2104674.258520378,475
std:sync::RwLock<BTreeMap>,33554432,2,23034056327,1456731.3513368575,1372
std:sync::RwLock<BTreeMap>,33554432,4,45268495492,741231.4377872322,5396
std:sync::RwLock<BTreeMap>,33554432,6,54382836285,617004.0823938244,9724
std:sync::RwLock<BTreeMap>,33554432,8,35901794612,934617.1232561336,8559
std:sync::RwLock<BTreeMap>,33554432,10,33137039420,1012595.9526652246,9875
std:sync::RwLock<BTreeMap>,33554432,12,26198040399,1280799.3074657905,9369
std:sync::RwLock<BTreeMap>,33554432,14,26214971181,1279972.110910405,10937
std:sync::RwLock<BTreeMap>,33554432,16,25522913183,1314678.7656806174,12170
std::sync::RwLock<StdHashMap>,33554432,1,2976968891,11271341.162295002,88
std::sync::RwLock<StdHashMap>,33554432,2,7596824682,4416902.245948131,452
std::sync::RwLock<StdHashMap>,33554432,4,10961165520,3061210.2279429864,1306
std::sync::RwLock<StdHashMap>,33554432,6,13840063796,2424442.0036342437,2474
std::sync::RwLock<StdHashMap>,33554432,8,14180454097,2366245.239431277,3380
std::sync::RwLock<StdHashMap>,33554432,10,15024179031,2233362.0979066994,4477
std::sync::RwLock<StdHashMap>,33554432,12,15001675899,2236712.2330803527,5365
std::sync::RwLock<StdHashMap>,33554432,14,15288885198,2194694.4833093123,6379
std::sync::RwLock<StdHashMap>,33554432,16,14838656944,2261284.9752259897,7075
DashMap,33554432,1,2878069593,11658659.012836454,85
DashMap,33554432,2,1700890015,19727573.037695795,101
DashMap,33554432,4,1257047879,26693042.135111865,149
DashMap,33554432,6,854076822,39287369.866126634,152
DashMap,33554432,8,715180015,46917463.15086839,170
DashMap,33554432,10,637517174,52632985.225273326,189
DashMap,33554432,12,884894969,37919112.63538893,316
DashMap,33554432,14,892732634,37586205.23331289,372
DashMap,33554432,16,843489627,39780491.57443877,402
Papaya,33554432,1,5481048222,6121900.527223641,163
Papaya,33554432,2,2990581232,11220036.97507321,178
Papaya,33554432,4,1582004814,21210069.465692535,188
Papaya,33554432,6,1011125991,33185213.612019595,180
Papaya,33554432,8,780279099,43003115.22249297,186
Papaya,33554432,10,624802973,53704021.02744156,186
Papaya,33554432,12,526570866,63722537.96509889,188
Papaya,33554432,14,480858859,69780209.66439135,200
Papaya,33554432,16,413833057,81082048.50343795,197
SccMap,33554432,1,4213666711,7963238.267612476,125
SccMap,33554432,2,2196456343,15276621.412001358,130
SccMap,33554432,4,1157742836,28982629.7832518,138
SccMap,33554432,6,850181812,39467360.423843086,152
SccMap,33554432,8,618520078,54249543.698725335,147
SccMap,33554432,10,505419814,66389229.44956012,150
SccMap,33554432,12,434181604,77282021.37278944,155
SccMap,33554432,14,382244362,87782673.43024932,159
SccMap,33554432,16,342499087,97969405.68194859,163
SccIndex,33554432,1,5108595328,6568230.569387547,152
SccIndex,33554432,2,2520711631,13311491.718189321,150
SccIndex,33554432,4,1273250138,26353370.008431137,151
SccIndex,33554432,6,892941893,37577396.98746557,159
SccIndex,33554432,8,702066706,47793794.682524085,167
SccIndex,33554432,10,571617061,58700893.11417526,170
SccIndex,33554432,12,488733579,68655876.00642435,174
SccIndex,33554432,14,422374454,79442380.29130426,176
SccIndex,33554432,16,397610904,84390120.2468029,189
