name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,17608244574,1905609.1513827469,524
std:sync::RwLock<BTreeMap>,33554432,2,11616945614,2888403.9845690886,692
std:sync::RwLock<BTreeMap>,33554432,4,10422841313,3219317.170083831,1242
std:sync::RwLock<BTreeMap>,33554432,6,9644922303,3478973.800500506,1724
std:sync::RwLock<BTreeMap>,33554432,8,8814037173,3806931.0738542313,2101
std:sync::RwLock<BTreeMap>,33554432,10,7968906072,4210669.782882591,2374
std:sync::RwLock<BTreeMap>,33554432,12,7902795912,4245893.77906739,2826
std:sync::RwLock<BTreeMap>,33554432,14,7906362465,4243978.4602007875,3298
std:sync::RwLock<BTreeMap>,33554432,16,7740172737,4335101.184447894,3690
std::sync::RwLock<StdHashMap>,33554432,1,2100331144,15975781.769391311,62
std::sync::RwLock<StdHashMap>,33554432,2,3680614144,9116530.743843168,219
std::sync::RwLock<StdHashMap>,33554432,4,4744333289,7072528.415699169,565
std::sync::RwLock<StdHashMap>,33554432,6,5013861903,6692332.706635379,896
std::sync::RwLock<StdHashMap>,33554432,8,7049821910,4759614.1332880845,1680
std::sync::RwLock<StdHashMap>,33554432,10,6348484336,5285424.082993279,1891
std::sync::RwLock<StdHashMap>,33554432,12,5758790493,5826645.723748159,2059
std::sync::RwLock<StdHashMap>,33554432,14,5822738920,5762654.390143943,2429
std::sync::RwLock<StdHashMap>,33554432,16,7033782478,4770467.682921712,3353
DashMap,33554432,1,1979507303,16950900.83736862,58
DashMap,33554432,2,1175125993,28553901.624061856,70
DashMap,33554432,4,716983262,46799463.49988851,85
DashMap,33554432,6,539835908,62156724.8542496,96
DashMap,33554432,8,440423485,76186745.58192554,105
DashMap,33554432,10,385689559,86998549.00661181,114
DashMap,33554432,12,350048297,95856578.32810424,125
DashMap,33554432,14,312403536,107407337.4124677,130
DashMap,33554432,16,297234253,112888846.62966485,141
Papaya,33554432,1,2125973292,15783091.973104618,63
Papaya,33554432,2,1989984907,16861651.50397294,118
Papaya,33554432,4,603413007,55607737.338681534,71
Papaya,33554432,6,408262069,82188463.11681235,73
Papaya,33554432,8,484237150,69293386.51526427,115
Papaya,33554432,10,418910120,80099358.78369327,124
Papaya,33554432,12,206804566,162251891.4790305,73
Papaya,33554432,14,170627418,196653224.86448222,71
Papaya,33554432,16,149864024,223899179.43214977,71
SccMap,33554432,1,3430687897,9780671.692502841,102
SccMap,33554432,2,1862408419,18016688.31480943,111
SccMap,33554432,4,881894338,38048131.79331241,105
SccMap,33554432,6,663415815,50578281.737223886,118
SccMap,33554432,8,474746025,70678700.25873308,113
SccMap,33554432,10,398939350,84109105.8076873,118
SccMap,33554432,12,346652160,96795681.29620194,123
SccMap,33554432,14,299806394,111920334.82781559,125
SccMap,33554432,16,274999259,122016445.14249401,131
SccIndex,33554432,1,2851417208,11767633.268768573,84
SccIndex,33554432,2,1423131872,23577879.6471224,84
SccIndex,33554432,4,726716564,46172653.35925383,86
SccIndex,33554432,6,501920781,66852047.71388017,89
SccIndex,33554432,8,369368257,90842760.21044223,88
SccIndex,33554432,10,591987206,56681008.74463831,176
SccIndex,33554432,12,519152410,64633104.563648276,185
SccIndex,33554432,14,225643651,148705411.61381936,94
SccIndex,33554432,16,201388559,166615383.5481786,96
