name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,17949838537,1869344.5030624787,534
std:sync::RwLock<BTreeMap>,33554432,2,10866700067,3087821.674760134,647
std:sync::RwLock<BTreeMap>,33554432,4,9105629101,3685020.7303430554,1085
std:sync::RwLock<BTreeMap>,33554432,6,9438296793,3555136.3488469613,1687
std:sync::RwLock<BTreeMap>,33554432,8,8795098596,3815128.5780082685,2096
std:sync::RwLock<BTreeMap>,33554432,10,8178843112,4102589.0264075287,2437
std:sync::RwLock<BTreeMap>,33554432,12,8244390706,4069971.110852397,2948
std:sync::RwLock<BTreeMap>,33554432,14,7297348361,4598167.764516841,3044
std:sync::RwLock<BTreeMap>,33554432,16,7678153319,4370117.475639327,3661
std::sync::RwLock<StdHashMap>,33554432,1,2086588337,16081002.373588942,62
std::sync::RwLock<StdHashMap>,33554432,2,3664395229,9156881.259546034,218
std::sync::RwLock<StdHashMap>,33554432,4,4802222860,6987270.890630845,572
std::sync::RwLock<StdHashMap>,33554432,6,5428997313,6180594.69649253,970
std::sync::RwLock<StdHashMap>,33554432,8,5674698005,5912989.901918137,1352
std::sync::RwLock<StdHashMap>,33554432,10,5961268282,5628740.464729181,1776
std::sync::RwLock<StdHashMap>,33554432,12,5951742624,5637749.16352969,2128
std::sync::RwLock<StdHashMap>,33554432,14,5816707614,5768629.648710412,2426
std::sync::RwLock<StdHashMap>,33554432,16,5857152664,5728795.871454171,2792
DashMap,33554432,1,1929943179,17386227.92894153,57
DashMap,33554432,2,1188958009,28221713.253121287,70
DashMap,33554432,4,719408380,46641703.00601725,85
DashMap,33554432,6,550894166,60909034.93067669,98
DashMap,33554432,8,441151237,76061062.93203028,105
DashMap,33554432,10,398735935,84152014.03906573,118
DashMap,33554432,12,364251543,92118846.56312904,130
DashMap,33554432,14,323039781,103870897.55982715,134
DashMap,33554432,16,302853142,110794399.484883,144
Papaya,33554432,1,2088256568,16068155.85507116,62
Papaya,33554432,2,1154685633,29059365.632550485,68
Papaya,33554432,4,576319219,58221955.634625465,68
Papaya,33554432,6,394570266,85040447.52323024,70
Papaya,33554432,8,288632942,116252953.55233568,68
Papaya,33554432,10,398498840,84202081.99351345,118
Papaya,33554432,12,347639700,96520713.83101527,124
Papaya,33554432,14,275521826,121785023.30338068,114
Papaya,33554432,16,242722402,138242007.0150756,115
SccMap,33554432,1,3426730587,9791966.759013845,102
SccMap,33554432,2,1708471878,19640025.93901636,101
SccMap,33554432,4,894028693,37531717.11682413,106
SccMap,33554432,6,657153148,51060292.5697314,117
SccMap,33554432,8,472607498,70998518.0979926,112
SccMap,33554432,10,390720520,85878345.98500226,116
SccMap,33554432,12,339502609,98834091.72858521,121
SccMap,33554432,14,272464356,123151638.96153814,113
SccMap,33554432,16,250458518,133972013.68092419,119
SccIndex,33554432,1,2795282741,12003949.19191468,83
SccIndex,33554432,2,1390257989,24135399.519721802,82
SccIndex,33554432,4,714607844,46955028.94591793,85
SccIndex,33554432,6,510064009,65784747.41980863,91
SccIndex,33554432,8,806827824,41588094.76059914,192
SccIndex,33554432,10,311869189,107591365.81459479,92
SccIndex,33554432,12,264679548,126773799.68927558,94
SccIndex,33554432,14,220841806,151938768.3326589,92
SccIndex,33554432,16,195559517,171581687.83982015,93
