name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,17202016517,1950610.3814538035,512
std:sync::RwLock<BTreeMap>,33554432,2,10827682436,3098948.662221368,645
std:sync::RwLock<BTreeMap>,33554432,4,9927800664,3379845.459798003,1183
std:sync::RwLock<BTreeMap>,33554432,6,9058186867,3704321.0183974667,1619
std:sync::RwLock<BTreeMap>,33554432,8,7349987203,4565236.792018398,1752
std:sync::RwLock<BTreeMap>,33554432,10,7532457521,4454646.03105327,2244
std:sync::RwLock<BTreeMap>,33554432,12,7625027623,4400565.30402421,2726
std:sync::RwLock<BTreeMap>,33554432,14,7714225935,4349682.299005674,3218
std:sync::RwLock<BTreeMap>,33554432,16,7675997377,4371344.901776665,3660
std::sync::RwLock<StdHashMap>,33554432,1,3142684024,10676998.30582777,93
std::sync::RwLock<StdHashMap>,33554432,2,3549778678,9452541.987464154,211
std::sync::RwLock<StdHashMap>,33554432,4,4994148583,6718749.2407051595,595
std::sync::RwLock<StdHashMap>,33554432,6,5393390036,6221399.11558957,964
std::sync::RwLock<StdHashMap>,33554432,8,5835448242,5750103.609607168,1391
std::sync::RwLock<StdHashMap>,33554432,10,6200682850,5411409.164395499,1847
std::sync::RwLock<StdHashMap>,33554432,12,6700311579,5007891.290483523,2396
std::sync::RwLock<StdHashMap>,33554432,14,6864796391,4887899.085250524,2864
std::sync::RwLock<StdHashMap>,33554432,16,6795745461,4937564.567796869,3240
DashMap,33554432,1,3327747721,10083225.897279488,99
DashMap,33554432,2,1982196707,16927902.201383285,118
DashMap,33554432,4,1057955542,31716296.827149663,126
DashMap,33554432,6,786816399,42645821.874894604,140
DashMap,33554432,8,620979367,54034697.098076046,148
DashMap,33554432,10,538820524,62273856.517017156,160
DashMap,33554432,12,475276541,70599806.86065462,169
DashMap,33554432,14,396289834,84671442.77034369,165
DashMap,33554432,16,368566904,91040274.19673038,175
Papaya,33554432,1,4127585041,8129313.30710286,123
Papaya,33554432,2,1518245740,22100791.140701637,90
Papaya,33554432,4,795018812,42205833.99226533,94
Papaya,33554432,6,585088213,57349355.62614043,104
Papaya,33554432,8,420868557,79726630.65917753,100
Papaya,33554432,10,341096882,98372145.1901164,101
Papaya,33554432,12,293429273,114352708.08853485,104
Papaya,33554432,14,238624524,140616024.86423397,99
Papaya,33554432,16,226714962,148002724.23131916,108
SccMap,33554432,1,4056470090,8271830.250324857,120
SccMap,33554432,2,2039521398,16452110.790749349,121
SccMap,33554432,4,1076756083,31162519.09765157,128
SccMap,33554432,6,731611633,45863721.25113544,130
SccMap,33554432,8,584036933,57452585.7939193,139
SccMap,33554432,10,468376874,71639813.7112124,139
SccMap,33554432,12,404754673,82900666.10299519,144
SccMap,33554432,14,330494584,101527933.05683945,137
SccMap,33554432,16,295192646,113669606.79636985,140
SccIndex,33554432,1,3578938174,9375527.144828515,106
SccIndex,33554432,2,1771674432,18939389.423891623,105
SccIndex,33554432,4,1002974006,33454936.817176096,119
SccIndex,33554432,6,646875403,51871553.38475592,115
SccIndex,33554432,8,464666190,72211907.64923094,110
SccIndex,33554432,10,406380870,82568926.04221256,121
SccIndex,33554432,12,353351209,94960569.3863637,126
SccIndex,33554432,14,286392262,117162495.1235589,119
SccIndex,33554432,16,253886547,132163095.668082,121
