name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,18057628012,1858186.0240836598,538
std:sync::RwLock<BTreeMap>,33554432,2,19855343813,1689944.6474470373,1183
std:sync::RwLock<BTreeMap>,33554432,4,42050386367,797957.7573235476,5012
std:sync::RwLock<BTreeMap>,33554432,6,44809765268,748819.633383847,8012
std:sync::RwLock<BTreeMap>,33554432,8,36786408728,912142.0970473811,8770
std:sync::RwLock<BTreeMap>,33554432,10,35107649173,955758.439838959,10462
std:sync::RwLock<BTreeMap>,33554432,12,32139752905,1044016.489460313,11494
std:sync::RwLock<BTreeMap>,33554432,14,27570273399,1217051.1156852383,11503
std:sync::RwLock<BTreeMap>,33554432,16,22270587862,1506670.2418418631,10619
std::sync::RwLock<StdHashMap>,33554432,1,2196198945,15278411.856262868,65
std::sync::RwLock<StdHashMap>,33554432,2,5243718261,6398976.895757368,312
std::sync::RwLock<StdHashMap>,33554432,4,7799479700,4302137.2310258085,929
std::sync::RwLock<StdHashMap>,33554432,6,8449813266,3971026.452740074,1510
std::sync::RwLock<StdHashMap>,33554432,8,9306958742,3605305.7642317843,2218
std::sync::RwLock<StdHashMap>,33554432,10,11743898863,2857179.9188185837,3499
std::sync::RwLock<StdHashMap>,33554432,12,13505222048,2484552.4109667717,4829
std::sync::RwLock<StdHashMap>,33554432,14,13081623201,2565005.235545616,5458
std::sync::RwLock<StdHashMap>,33554432,16,11777763526,2848964.6549556646,5616
DashMap,33554432,1,2126413194,15779826.843944987,63
DashMap,33554432,2,1302275611,25765998.930313993,77
DashMap,33554432,4,753261054,44545555.38457455,89
DashMap,33554432,6,621077500,54026159.37624532,111
DashMap,33554432,8,498673689,67287351.90999821,118
DashMap,33554432,10,449565887,74637406.81908101,133
DashMap,33554432,12,418979271,80086138.67677478,149
DashMap,33554432,14,366102053,91653219.98344544,152
DashMap,33554432,16,345984018,96982606.86711836,164
Papaya,33554432,1,2662271208,12603686.618842779,79
Papaya,33554432,2,1481826085,22643974.444544885,88
Papaya,33554432,4,836127647,40130752.90643989,99
Papaya,33554432,6,615153807,54546410.374405764,109
Papaya,33554432,8,411104621,81620177.16653202,98
Papaya,33554432,10,375760418,89297409.7128027,111
Papaya,33554432,12,335584611,99987993.78795114,120
Papaya,33554432,14,234307972,143206531.61557814,97
Papaya,33554432,16,221701525,151349576.8691713,105
SccMap,33554432,1,3578223817,9377398.876108369,106
SccMap,33554432,2,1806938624,18569768.53243688,107
SccMap,33554432,4,956979228,35062863.45433613,114
SccMap,33554432,6,661569894,50719405.922664315,118
SccMap,33554432,8,651788027,51480589.71632505,155
SccMap,33554432,10,414285184,80993560.22348122,123
SccMap,33554432,12,363352030,92346895.65378237,129
SccMap,33554432,14,332690574,100857777.83412643,138
SccMap,33554432,16,299363120,112086057.89517426,142
SccIndex,33554432,1,3637393972,9224855.008364763,108
SccIndex,33554432,2,1801357013,18627308.056007218,107
SccIndex,33554432,4,918548858,36529828.22607788,109
SccIndex,33554432,6,661823271,50699988.154390536,118
SccIndex,33554432,8,468506114,71620051.4727968,111
SccIndex,33554432,10,396225389,84685214.35409582,118
SccIndex,33554432,12,353358350,94958650.33329481,126
SccIndex,33554432,14,399241344,84045484.02682464,166
SccIndex,33554432,16,290924117,115337402.57085666,138
