name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,18079269924,1855961.6699708058,538
std:sync::RwLock<BTreeMap>,33554432,2,20737388331,1618064.5057333475,1236
std:sync::RwLock<BTreeMap>,33554432,4,41249595049,813448.7613791362,4917
std:sync::RwLock<BTreeMap>,33554432,6,45655522336,734947.9380184832,8163
std:sync::RwLock<BTreeMap>,33554432,8,35540435863,944119.8788147795,8473
std:sync::RwLock<BTreeMap>,33554432,10,34379825242,975991.9302617145,10245
std:sync::RwLock<BTreeMap>,33554432,12,29281579759,1145922.8728834786,10471
std:sync::RwLock<BTreeMap>,33554432,14,26702008129,1256625.7877645483,11140
std:sync::RwLock<BTreeMap>,33554432,16,22136192072,1515817.711142961,10555
std::sync::RwLock<StdHashMap>,33554432,1,3402825185,9860756.922780327,101
std::sync::RwLock<StdHashMap>,33554432,2,6564791302,5111271.700256101,391
std::sync::RwLock<StdHashMap>,33554432,4,8943367059,3751879.1053346167,1066
std::sync::RwLock<StdHashMap>,33554432,6,11343448021,2958045.202647471,2028
std::sync::RwLock<StdHashMap>,33554432,8,11805974361,2842156.9430850297,2814
std::sync::RwLock<StdHashMap>,33554432,10,12854795070,2610265.8048830335,3831
std::sync::RwLock<StdHashMap>,33554432,12,13424018295,2499581.8139266027,4800
std::sync::RwLock<StdHashMap>,33554432,14,13173268772,2547160.6615451816,5496
std::sync::RwLock<StdHashMap>,33554432,16,13391011918,2505742.822534317,6385
DashMap,33554432,1,3491104986,9611407.315036273,104
DashMap,33554432,2,2168844370,15471111.004613023,129
DashMap,33554432,4,1168172262,28723873.26039762,139
DashMap,33554432,6,910861268,36838136.80394631,162
DashMap,33554432,8,678326284,49466507.18314198,161
DashMap,33554432,10,600198029,55905601.78264098,178
DashMap,33554432,12,546044754,61449966.79154984,195
DashMap,33554432,14,458511972,73181146.94723827,191
DashMap,33554432,16,425143451,78924965.02315873,202
Papaya,33554432,1,3501276934,9583484.149500297,104
Papaya,33554432,2,1830199681,18333754.698102802,109
Papaya,33554432,4,1020146163,32891788.664209288,121
Papaya,33554432,6,742102552,45215357.24350939,132
Papaya,33554432,8,502512495,66773328.691060714,119
Papaya,33554432,10,442776840,75781813.70100568,131
Papaya,33554432,12,441789820,75951120.82935727,157
Papaya,33554432,14,300925632,111504067.55646525,125
Papaya,33554432,16,279056989,120242220.48780152,133
SccMap,33554432,1,4267643626,7862519.680784611,127
SccMap,33554432,2,2140059852,15679202.602040123,127
SccMap,33554432,4,1096770589,30593847.370208796,130
SccMap,33554432,6,796766686,42113246.68762569,142
SccMap,33554432,8,589630187,56907588.41694107,140
SccMap,33554432,10,487955562,68765343.84088033,145
SccMap,33554432,12,463328049,72420463.3680617,165
SccMap,33554432,14,391614704,85682257.73259015,163
SccMap,33554432,16,326539732,102757578.05791302,155
SccIndex,33554432,1,4370780933,7676987.823082005,130
SccIndex,33554432,2,2185569624,15352717.036114883,130
SccIndex,33554432,4,1097143792,30583440.607026648,130
SccIndex,33554432,6,788483149,42555674.198688544,140
SccIndex,33554432,8,564382839,59453317.289826386,134
SccIndex,33554432,10,467463292,71779822.23254442,139
SccIndex,33554432,12,402740837,83315196.56647086,144
SccIndex,33554432,14,333733957,100542456.93673898,139
SccIndex,33554432,16,315199783,106454489.53243726,150
