name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,19250606818,1743032.4309894177,573
std:sync::RwLock<BTreeMap>,33554432,2,25296884295,1326425.484210011,1507
std:sync::RwLock<BTreeMap>,33554432,4,65488390808,512372.2172129021,7806
std:sync::RwLock<BTreeMap>,33554432,6,89169871225,376297.8631575343,15944
std:sync::RwLock<BTreeMap>,33554432,8,60851175301,551417.9772867687,14508
std:sync::RwLock<BTreeMap>,33554432,10,42533379414,788896.4493838326,12675
std:sync::RwLock<BTreeMap>,33554432,12,29946536321,1120477.895684716,10709
std:sync::RwLock<BTreeMap>,33554432,14,30088512073,1115190.8050019578,12553
std:sync::RwLock<BTreeMap>,33554432,16,29264494896,1146591.872480477,13954
std::sync::RwLock<StdHashMap>,33554432,1,2935795310,11429418.081603244,87
std::sync::RwLock<StdHashMap>,33554432,2,6281828567,5341507.117254001,374
std::sync::RwLock<StdHashMap>,33554432,4,10869543325,3087013.9615548197,1295
std::sync::RwLock<StdHashMap>,33554432,6,11878122397,2824893.60511007,2123
std::sync::RwLock<StdHashMap>,33554432,8,13019603647,2577223.7703819554,3104
std::sync::RwLock<StdHashMap>,33554432,10,18022128386,1861846.2415385882,5371
std::sync::RwLock<StdHashMap>,33554432,12,14784383192,2269586.195395469,5287
std::sync::RwLock<StdHashMap>,33554432,14,14790302664,2268677.8467131983,6170
std::sync::RwLock<StdHashMap>,33554432,16,16959178015,1978541.1751867859,8086
DashMap,33554432,1,2851804517,11766035.084094089,84
DashMap,33554432,2,1768660845,18971659.88315866,105
DashMap,33554432,4,1048823378,31992452.40317288,125
DashMap,33554432,6,811053058,41371438.858442724,145
DashMap,33554432,8,671106226,49998689.7752309,160
DashMap,33554432,10,600571949,55870794.59150697,178
DashMap,33554432,12,546965725,61346498.44832599,195
DashMap,33554432,14,504388713,66524946.20750961,210
DashMap,33554432,16,483109348,69455149.52031109,230
Papaya,33554432,1,4477264610,7494404.4908706,133
Papaya,33554432,2,2389010195,14045328.09036422,142
Papaya,33554432,4,1277555350,26264562.235992357,152
Papaya,33554432,6,880400179,38112704.65450462,157
Papaya,33554432,8,737915306,45471928.45461861,175
Papaya,33554432,10,589477955,56922284.73582189,175
Papaya,33554432,12,554835814,60476326.78592734,198
Papaya,33554432,14,447643244,74957977.02690226,186
Papaya,33554432,16,423782142,79178494.50107315,202
SccMap,33554432,1,4432829417,7569529.265285509,132
SccMap,33554432,2,2334593230,14372710.23012433,139
SccMap,33554432,4,1190810764,28177803.740443848,141
SccMap,33554432,6,852874598,39342749.89392989,152
SccMap,33554432,8,888298509,37773824.51961315,211
SccMap,33554432,10,517461091,64844357.54416943,154
SccMap,33554432,12,438744476,76478300.77751224,156
SccMap,33554432,14,369466230,90818671.03253253,154
SccMap,33554432,16,333477884,100619662.08229868,159
SccIndex,33554432,1,5428517959,6181140.461066309,161
SccIndex,33554432,2,2760015876,12157332.967457179,164
SccIndex,33554432,4,1417461665,23672197.159561276,168
SccIndex,33554432,6,962426457,34864411.46328545,172
SccIndex,33554432,8,732457537,45810753.94135783,174
SccIndex,33554432,10,619324154,54179110.86348491,184
SccIndex,33554432,12,536859805,62501293.05173071,191
SccIndex,33554432,14,475089151,70627653.62958162,198
SccIndex,33554432,16,402058988,83456490.22028579,191
