name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,16064762510,2088697.6685222094,478
std:sync::RwLock<BTreeMap>,33554432,2,24066527924,1394236.5141312438,1434
std:sync::RwLock<BTreeMap>,33554432,4,36430099811,921063.4111375206,4342
std:sync::RwLock<BTreeMap>,33554432,6,51188774038,655503.7238260651,9153
std:sync::RwLock<BTreeMap>,33554432,8,40627488644,825904.6551959452,9686
std:sync::RwLock<BTreeMap>,33554432,10,32069040117,1046318.5638728421,9557
std:sync::RwLock<BTreeMap>,33554432,12,26310202215,1275339.1906988048,9409
std:sync::RwLock<BTreeMap>,33554432,14,26249719633,1278277.7290244591,10952
std:sync::RwLock<BTreeMap>,33554432,16,25469168467,1317452.9841237632,12144
std::sync::RwLock<StdHashMap>,33554432,1,3173623015,10572910.469014859,94
std::sync::RwLock<StdHashMap>,33554432,2,13383651270,2507120.9136488508,797
std::sync::RwLock<StdHashMap>,33554432,4,9719544455,3452263.854067634,1158
std::sync::RwLock<StdHashMap>,33554432,6,14688662097,2284376.329063566,2626
std::sync::RwLock<StdHashMap>,33554432,8,16553509415,2027028.2970688122,3946
std::sync::RwLock<StdHashMap>,33554432,10,13129089627,2555731.810299721,3912
std::sync::RwLock<StdHashMap>,33554432,12,15525872689,2161194.586103565,5552
std::sync::RwLock<StdHashMap>,33554432,14,17848908594,1879915.0560544352,7447
std::sync::RwLock<StdHashMap>,33554432,16,13975935467,2400871.990231264,6664
DashMap,33554432,1,3046149992,11015357.77559308,90
DashMap,33554432,2,1823569940,18400408.596338235,108
DashMap,33554432,4,1351780168,24822402.92787015,161
DashMap,33554432,6,872566481,38454871.61224108,156
DashMap,33554432,8,742265074,45205457.15451513,176
DashMap,33554432,10,666274205,50361295.31684331,198
DashMap,33554432,12,617838669,54309375.05790853,220
DashMap,33554432,14,867630742,38673631.96773403,362
DashMap,33554432,16,847981341,39569776.33544415,404
Papaya,33554432,1,5498670363,6102281.057941643,163
Papaya,33554432,2,2986271416,11236229.841741886,177
Papaya,33554432,4,1544813742,21720697.510470487,184
Papaya,33554432,6,990857536,33864032.69985323,177
Papaya,33554432,8,773752052,43365871.42259366,184
Papaya,33554432,10,635127162,52831045.50959199,189
Papaya,33554432,12,539913800,62147757.660574704,193
Papaya,33554432,14,454572163,73815413.10966726,189
Papaya,33554432,16,446891728,75084030.19713089,213
SccMap,33554432,1,4650399447,7215387.061351507,138
SccMap,33554432,2,2345524188,14305728.40462219,139
SccMap,33554432,4,1362498495,24627133.257860955,162
SccMap,33554432,6,821075174,40866455.42640655,146
SccMap,33554432,8,636442479,52721861.13774471,151
SccMap,33554432,10,521862034,64297515.07847762,155
SccMap,33554432,12,445227738,75364648.55206303,159
SccMap,33554432,14,389036710,86250040.51674198,162
SccMap,33554432,16,355034631,94510307.08043802,169
SccIndex,33554432,1,5164858487,6496679.8382679485,153
SccIndex,33554432,2,2601944435,12895906.441599319,155
SccIndex,33554432,4,1474429530,22757569.15964644,175
SccIndex,33554432,6,900330413,37269019.8126185,160
SccIndex,33554432,8,685371608,48958012.86241785,163
SccIndex,33554432,10,592714096,56611496.54858217,176
SccIndex,33554432,12,483960889,69332941.48899706,173
SccIndex,33554432,14,415866247,80685634.48478183,173
SccIndex,33554432,16,372960065,89967895.08817787,177
