name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,15840550529,2118261.732038316,472
std:sync::RwLock<BTreeMap>,33554432,2,22689295632,1478866.1818428722,1352
std:sync::RwLock<BTreeMap>,33554432,4,41039614686,817610.7952457592,4892
std:sync::RwLock<BTreeMap>,33554432,6,50594982350,663196.8318099433,9047
std:sync::RwLock<BTreeMap>,33554432,8,43865093704,764946.0919067913,10458
std:sync::RwLock<BTreeMap>,33554432,10,33590454950,998927.5837420594,10010
std:sync::RwLock<BTreeMap>,33554432,12,27036416210,1241082.8321095742,9668
std:sync::RwLock<BTreeMap>,33554432,14,26742515489,1254722.3545145537,11157
std:sync::RwLock<BTreeMap>,33554432,16,25705171660,1305357.242652236,12257
std::sync::RwLock<StdHashMap>,33554432,1,2960910717,11332470.042864855,88
std::sync::RwLock<StdHashMap>,33554432,2,7171689208,4678734.817812534,427
std::sync::RwLock<StdHashMap>,33554432,4,10273663600,3266062.94564677,1224
std::sync::RwLock<StdHashMap>,33554432,6,13719720789,2445708.080801673,2453
std::sync::RwLock<StdHashMap>,33554432,8,15100052408,2222140.1021246044,3600
std::sync::RwLock<StdHashMap>,33554432,10,15376217138,2182229.328504687,4582
std::sync::RwLock<StdHashMap>,33554432,12,15671403077,2141124.941725599,5604
std::sync::RwLock<StdHashMap>,33554432,14,15765346530,2128366.2833638964,6577
std::sync::RwLock<StdHashMap>,33554432,16,15394210481,2179678.6552589945,7340
DashMap,33554432,1,3033334083,11061897.9254716,90
DashMap,33554432,2,1861389831,18026547.39011519,110
DashMap,33554432,4,1292014920,25970622.692189965,154
DashMap,33554432,6,894352958,37518109.265313126,159
DashMap,33554432,8,1018339735,32950135.25127741,242
DashMap,33554432,10,655124102,51218436.1673813,195
DashMap,33554432,12,618155717,54281520.13677809,221
DashMap,33554432,14,579521734,57900213.28173345,241
DashMap,33554432,16,545437322,61518401.19220885,260
Papaya,33554432,1,5936635009,5652096.170495767,176
Papaya,33554432,2,3213690128,10441091.288686935,191
Papaya,33554432,4,1645765816,20388339.382059447,196
Papaya,33554432,6,1118850953,29990082.15529491,200
Papaya,33554432,8,867647412,38672888.93613389,206
Papaya,33554432,10,674254925,49765201.19597199,200
Papaya,33554432,12,590434766,56830041.068415,211
Papaya,33554432,14,519951650,64533754.244264826,216
Papaya,33554432,16,478512858,70122320.51662026,228
SccMap,33554432,1,4515739058,7430551.581707447,134
SccMap,33554432,2,2306713288,14546425.069191346,137
SccMap,33554432,4,1370053105,24491336.779241122,163
SccMap,33554432,6,840640558,39915314.197819136,150
SccMap,33554432,8,654323085,51281137.36045244,156
SccMap,33554432,10,530800371,63214786.260953836,158
SccMap,33554432,12,450759251,74439807.7811164,161
SccMap,33554432,14,397688423,84373670.5908585,165
SccMap,33554432,16,356308392,94172443.74081428,169
SccIndex,33554432,1,5347275800,6275051.6814561905,159
SccIndex,33554432,2,2717634293,12346926.915968232,161
SccIndex,33554432,4,1456576273,23036508.710175864,173
SccIndex,33554432,6,1088063872,30838660.17747899,194
SccIndex,33554432,8,728213044,46077768.4174523,173
SccIndex,33554432,10,589812537,56889994.5238024,175
SccIndex,33554432,12,500181937,67084453.711490184,178
SccIndex,33554432,14,436006086,76958632.17835909,181
SccIndex,33554432,16,387861008,86511485.57835956,184
