name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,15568619108,2155260.6411160715,463
std:sync::RwLock<BTreeMap>,33554432,2,22738243643,1475682.6660325534,1355
std:sync::RwLock<BTreeMap>,33554432,4,37524159897,894208.7469007568,4473
std:sync::RwLock<BTreeMap>,33554432,6,58201844284,576518.3631685069,10407
std:sync::RwLock<BTreeMap>,33554432,8,40582536551,826819.4857123386,9675
std:sync::RwLock<BTreeMap>,33554432,10,32824080362,1022250.4828755392,9782
std:sync::RwLock<BTreeMap>,33554432,12,26409854569,1270526.9509278683,9444
std:sync::RwLock<BTreeMap>,33554432,14,26180825600,1281641.477341341,10923
std:sync::RwLock<BTreeMap>,33554432,16,25434208328,1319263.8657072182,12127
std::sync::RwLock<StdHashMap>,33554432,1,4189818489,8008564.592498269,124
std::sync::RwLock<StdHashMap>,33554432,2,8515605469,3940346.006182499,507
std::sync::RwLock<StdHashMap>,33554432,4,12135575858,2764964.13459278,1446
std::sync::RwLock<StdHashMap>,33554432,6,15254740958,2199606.803706696,2727
std::sync::RwLock<StdHashMap>,33554432,8,16911478287,1984121.7562744694,4032
std::sync::RwLock<StdHashMap>,33554432,10,17526919394,1914451.2076370197,5223
std::sync::RwLock<StdHashMap>,33554432,12,17285474421,1941192.4245038342,6181
std::sync::RwLock<StdHashMap>,33554432,14,17392763826,1929217.940040118,7256
std::sync::RwLock<StdHashMap>,33554432,16,17641091719,1902060.968475145,8411
DashMap,33554432,1,4486399845,7479144.338281779,133
DashMap,33554432,2,2814537696,11921827.178824896,167
DashMap,33554432,4,1731138377,19382871.089801967,206
DashMap,33554432,6,1173239075,28599824.805528235,209
DashMap,33554432,8,961202599,34908802.82149549,229
DashMap,33554432,10,831877345,40335792.53201083,247
DashMap,33554432,12,743156284,45151245.73716179,265
DashMap,33554432,14,700489715,47901391.38588209,292
DashMap,33554432,16,1021395845,32851545.426053695,487
Papaya,33554432,1,6161288022,5446009.321458077,183
Papaya,33554432,2,2951777721,11367533.456629135,175
Papaya,33554432,4,1704692626,19683567.282586463,203
Papaya,33554432,6,1093543833,30684121.6487387,195
Papaya,33554432,8,826936792,40576779.65790643,197
Papaya,33554432,10,652262161,51443168.10982387,194
Papaya,33554432,12,597310143,56175895.20826202,213
Papaya,33554432,14,512059142,65528430.69834304,213
Papaya,33554432,16,472948026,70947398.35112453,225
SccMap,33554432,1,4973983711,6745987.512141252,148
SccMap,33554432,2,2818942418,11903198.797443476,168
SccMap,33554432,4,1424471644,23555703.717469014,169
SccMap,33554432,6,939743566,35705944.91306153,168
SccMap,33554432,8,735153277,45642770.08589054,175
SccMap,33554432,10,598039257,56107407.009235844,178
SccMap,33554432,12,510551579,65721923.856786266,182
SccMap,33554432,14,445742138,75277675.45279732,185
SccMap,33554432,16,399464475,83998538.29304847,190
SccIndex,33554432,1,5852477065,5733372.660384786,174
SccIndex,33554432,2,3032171251,11066140.142623495,180
SccIndex,33554432,4,1628986728,20598345.844841037,194
SccIndex,33554432,6,1205914501,27824884.74280317,215
SccIndex,33554432,8,815764123,41132517.42011213,194
SccIndex,33554432,10,811523185,41347471.79157919,241
SccIndex,33554432,12,564149298,59477929.19171549,201
SccIndex,33554432,14,500174262,67085483.09908837,208
SccIndex,33554432,16,433492918,77404798.5715882,206
