name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,17920568882,1872397.7023800374,534
std:sync::RwLock<BTreeMap>,33554432,2,10574247577,3173221.7120567616,630
std:sync::RwLock<BTreeMap>,33554432,4,10382565761,3231805.39111444,1237
std:sync::RwLock<BTreeMap>,33554432,6,9264991492,3621636.569118611,1656
std:sync::RwLock<BTreeMap>,33554432,8,8698777856,3857373.1339576356,2073
std:sync::RwLock<BTreeMap>,33554432,10,7875235559,4260752.805248247,2347
std:sync::RwLock<BTreeMap>,33554432,12,7817661761,4292131.461531519,2795
std:sync::RwLock<BTreeMap>,33554432,14,7801457102,4301046.786682696,3255
std:sync::RwLock<BTreeMap>,33554432,16,7732550159,4339374.631918246,3687
std::sync::RwLock<StdHashMap>,33554432,1,1988118024,16877484.935471818,59
std::sync::RwLock<StdHashMap>,33554432,2,3665091758,9155141.04844957,218
std::sync::RwLock<StdHashMap>,33554432,4,4842398006,6929300.722167859,577
std::sync::RwLock<StdHashMap>,33554432,6,5891551636,5695347.1806930285,1053
std::sync::RwLock<StdHashMap>,33554432,8,5902005643,5685259.220278248,1407
std::sync::RwLock<StdHashMap>,33554432,10,6276546693,5346002.131621519,1870
std::sync::RwLock<StdHashMap>,33554432,12,6373305539,5264839.696554833,2279
std::sync::RwLock<StdHashMap>,33554432,14,5512825392,6086612.510654319,2300
std::sync::RwLock<StdHashMap>,33554432,16,6307741539,5319563.554171809,3007
DashMap,33554432,1,1906317041,17601705.948344402,56
DashMap,33554432,2,1205046409,27844929.24869585,71
DashMap,33554432,4,701224212,47851217.09402698,83
DashMap,33554432,6,575120361,58343321.286098585,102
DashMap,33554432,8,453472721,73994378.15356483,108
DashMap,33554432,10,406361769,82572807.1874793,121
DashMap,33554432,12,371633110,90289134.89435858,132
DashMap,33554432,14,337211637,99505557.69224536,140
DashMap,33554432,16,318916915,105213710.59920104,152
Papaya,33554432,1,2030667489,16523843.60401803,60
Papaya,33554432,2,1020840310,32869423.034441102,60
Papaya,33554432,4,559572612,59964392.967824526,66
Papaya,33554432,6,385043746,87144466.95622995,68
Papaya,33554432,8,283208224,118479723.24419506,67
Papaya,33554432,10,233581851,143651708.62525615,69
Papaya,33554432,12,199614153,168096457.56931874,71
Papaya,33554432,14,164804476,203601460.43606243,68
Papaya,33554432,16,163624227,205070071.92767364,78
SccMap,33554432,1,3225314198,10403461.473864134,96
SccMap,33554432,2,1600414955,20966082.512019515,95
SccMap,33554432,4,913108834,36747461.80366053,108
SccMap,33554432,6,608310553,55160035.99562738,108
SccMap,33554432,8,438891414,76452696.33823368,104
SccMap,33554432,10,417640486,80342862.16207497,124
SccMap,33554432,12,316235393,106105871.58408295,113
SccMap,33554432,14,256134850,131002993.1498974,106
SccMap,33554432,16,236667358,141778875.98677635,112
SccIndex,33554432,1,2677832226,12530445.960806806,79
SccIndex,33554432,2,1343761116,24970533.527478553,80
SccIndex,33554432,4,671774826,49948927.38061607,80
SccIndex,33554432,6,554596954,60502373.404668935,99
SccIndex,33554432,8,396492140,84628240.04531339,94
SccIndex,33554432,10,298746905,112317253.96452224,89
SccIndex,33554432,12,255260178,131451886.70988077,91
SccIndex,33554432,14,212591479,157835263.00223914,88
SccIndex,33554432,16,212202982,158124224.66334614,101
