name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,18085600735,1855311.99608228,538
std:sync::RwLock<BTreeMap>,33554432,2,20018988897,1676130.2068072176,1193
std:sync::RwLock<BTreeMap>,33554432,4,39498084068,849520.4967975816,4708
std:sync::RwLock<BTreeMap>,33554432,6,41304134963,812374.6455423376,7385
std:sync::RwLock<BTreeMap>,33554432,8,38842990089,863847.812002051,9260
std:sync::RwLock<BTreeMap>,33554432,10,35155002467,954471.046659648,10477
std:sync::RwLock<BTreeMap>,33554432,12,33251235749,1009118.3453537999,11891
std:sync::RwLock<BTreeMap>,33554432,14,26463288168,1267961.5543987753,11041
std:sync::RwLock<BTreeMap>,33554432,16,22583587979,1485788.3535247613,10768
std::sync::RwLock<StdHashMap>,33554432,1,2040493032,16444276.688909564,60
std::sync::RwLock<StdHashMap>,33554432,2,3791552183,8849787.733489834,225
std::sync::RwLock<StdHashMap>,33554432,4,6806407245,4929830.201483926,811
std::sync::RwLock<StdHashMap>,33554432,6,9508097979,3529037.255832847,1700
std::sync::RwLock<StdHashMap>,33554432,8,10335162441,3246628.4097179,2464
std::sync::RwLock<StdHashMap>,33554432,10,11762927548,2852557.908146354,3505
std::sync::RwLock<StdHashMap>,33554432,12,12323070649,2722895.3688359237,4407
std::sync::RwLock<StdHashMap>,33554432,14,12346030514,2717831.610893101,5151
std::sync::RwLock<StdHashMap>,33554432,16,12765296647,2628566.5682423213,6086
DashMap,33554432,1,1994276761,16825363.78911352,59
DashMap,33554432,2,1237829726,27107469.868598066,73
DashMap,33554432,4,758752111,44223181.08054661,90
DashMap,33554432,6,603742904,55577352.17704522,107
DashMap,33554432,8,479587714,69965161.78477415,114
DashMap,33554432,10,440493044,76174714.80435,131
DashMap,33554432,12,414769422,80899001.27690706,148
DashMap,33554432,14,363741544,92248005.63336256,151
DashMap,33554432,16,351481466,95465722.22388534,167
Papaya,33554432,1,2697651407,12438386.929064034,80
Papaya,33554432,2,1346138686,24926430.20289813,80
Papaya,33554432,4,752944883,44564260.62198234,89
Papaya,33554432,6,631522955,53132561.11173346,112
Papaya,33554432,8,398102096,84285996.82630156,94
Papaya,33554432,10,359516302,93332157.16042829,107
Papaya,33554432,12,324650596,103355522.56309426,116
Papaya,33554432,14,233059957,143973389.64582404,97
Papaya,33554432,16,227250172,147654154.47078297,108
SccMap,33554432,1,3356010723,9998308.93567738,100
SccMap,33554432,2,1674503159,20038440.548561547,99
SccMap,33554432,4,881348780,38071683.72094416,105
SccMap,33554432,6,615583254,54508357.36996835,110
SccMap,33554432,8,464910377,72173979.45927113,110
SccMap,33554432,10,387061377,86690209.85785414,115
SccMap,33554432,12,333978659,100468790.73192517,119
SccMap,33554432,14,270822519,123898234.62206258,112
SccMap,33554432,16,241811421,138762808.8914791,115
SccIndex,33554432,1,3382165414,9920990.812899372,100
SccIndex,33554432,2,1703059429,19702443.396060724,101
SccIndex,33554432,4,867405629,38683668.722191334,103
SccIndex,33554432,6,619622338,54153037.975206114,110
SccIndex,33554432,8,452658530,74127470.87744044,107
SccIndex,33554432,10,388766738,86309935.29081184,115
SccIndex,33554432,12,342412100,97994294.01005396,122
SccIndex,33554432,14,276301788,121441240.90865457,115
SccIndex,33554432,16,247643063,135495142.05451417,118
