name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,17967769484,1867478.989525086,535
std:sync::RwLock<BTreeMap>,33554432,2,21056721646,1593525.9326740496,1255
std:sync::RwLock<BTreeMap>,33554432,4,40336171910,831869.5208575632,4808
std:sync::RwLock<BTreeMap>,33554432,6,46013916639,729223.5578042553,8227
std:sync::RwLock<BTreeMap>,33554432,8,39753731346,844057.4221311738,9478
std:sync::RwLock<BTreeMap>,33554432,10,33982021895,987417.173224089,10127
std:sync::RwLock<BTreeMap>,33554432,12,33096260699,1013843.597171503,11836
std:sync::RwLock<BTreeMap>,33554432,14,26625626533,1260230.7013663093,11109
std:sync::RwLock<BTreeMap>,33554432,16,21959426104,1528019.5320718298,10471
std::sync::RwLock<StdHashMap>,33554432,1,2154146414,15576671.93925473,64
std::sync::RwLock<StdHashMap>,33554432,2,5011476453,6695518.239921778,298
std::sync::RwLock<StdHashMap>,33554432,4,7178323955,4674410.379128675,855
std::sync::RwLock<StdHashMap>,33554432,6,9266768617,3620942.033498493,1657
std::sync::RwLock<StdHashMap>,33554432,8,10320036872,3251386.832835727,2460
std::sync::RwLock<StdHashMap>,33554432,10,11273532748,2976390.165359016,3359
std::sync::RwLock<StdHashMap>,33554432,12,12346111505,2717813.781805788,4415
std::sync::RwLock<StdHashMap>,33554432,14,12307112690,2726425.9981355546,5134
std::sync::RwLock<StdHashMap>,33554432,16,11872127362,2826320.0837450717,5661
DashMap,33554432,1,2000581621,16772338.427875621,59
DashMap,33554432,2,1248948781,26866139.356918912,74
DashMap,33554432,4,759945233,44153750.221629456,90
DashMap,33554432,6,614418704,54611670.80616739,109
DashMap,33554432,8,501285384,66936785.05495784,119
DashMap,33554432,10,459030313,73098510.16309679,136
DashMap,33554432,12,417574740,80355511.92584111,149
DashMap,33554432,14,369036561,90924411.14526862,153
DashMap,33554432,16,353622215,94887794.3089633,168
Papaya,33554432,1,2662768169,12601334.352213372,79
Papaya,33554432,2,1498781971,22387800.660300307,89
Papaya,33554432,4,829474000,40452662.77182889,98
Papaya,33554432,6,649939978,51626970.39079507,116
Papaya,33554432,8,613551875,54688826.43378769,146
Papaya,33554432,10,359105159,93439014.05771784,107
Papaya,33554432,12,340109805,98657643.81594351,121
Papaya,33554432,14,234403196,143148355.3662809,97
Papaya,33554432,16,213428195,157216491.4762082,101
SccMap,33554432,1,3622311885,9263264.198466444,107
SccMap,33554432,2,1767227426,18987048.020156745,105
SccMap,33554432,4,926139579,36230426.55862999,110
SccMap,33554432,6,644778156,52040274.14353038,115
SccMap,33554432,8,490705402,68379993.09410496,116
SccMap,33554432,10,412430039,81357876.06877005,122
SccMap,33554432,12,351039867,95585815.61335881,125
SccMap,33554432,14,281757162,119089899.12384197,117
SccMap,33554432,16,255800378,131174286.22408056,121
SccIndex,33554432,1,3712420219,9038425.075984104,110
SccIndex,33554432,2,1790036671,18745108.714032598,106
SccIndex,33554432,4,1143189491,29351592.42117281,136
SccIndex,33554432,6,654883144,51237281.50193464,117
SccIndex,33554432,8,710927790,47198087.44570247,169
SccIndex,33554432,10,465278846,72116822.60749073,138
SccIndex,33554432,12,401785918,83513210.63472414,143
SccIndex,33554432,14,320047765,104841950.70070244,133
SccIndex,33554432,16,261705170,128214631.75526874,124
