name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2852138031,11764659.22591949,85
DashMap,33554432,4,945373493,35493307.40543622,112
DashMap,33554432,8,566157410,59266966.054546565,134
DashMap,33554432,12,441347893,76027171.60813545,157
DashMap,33554432,16,417791534,80313815.0712264,199
DashMap,33554432,20,378151272,88732828.5914109,225
DashMap,33554432,24,350110071,95839665.23487979,250
DashMap,33554432,28,319154998,105135223.35627028,266
DashMap,33554432,32,293556029,114303331.17089549,279
Papaya,33554432,1,4435045320,7565747.2650132915,132
Papaya,33554432,4,1251152084,26818827.566289693,149
Papaya,33554432,8,747665000,44878965.84700367,178
Papaya,33554432,12,521687563,64319018.469681256,186
Papaya,33554432,16,487033436,68895540.88027747,232
Papaya,33554432,20,457103021,73406716.77599786,272
Papaya,33554432,24,451504742,74316898.31510119,322
Papaya,33554432,28,388329707,86407069.54721855,324
Papaya,33554432,32,371001135,90442936.24600367,353
SccMap,33554432,1,4454830980,7532144.799801137,132
SccMap,33554432,4,1144356959,29321648.05404919,136
SccMap,33554432,8,658602183,50947951.38266343,157
SccMap,33554432,12,477386402,70287783.35416433,170
SccMap,33554432,16,376161920,89202096.79916564,179
SccMap,33554432,20,381682014,87912007.29725766,227
SccMap,33554432,24,325837646,102978990.95428649,233
SccMap,33554432,28,291550152,115089742.7760559,243
SccMap,33554432,32,272452893,123156820.36086878,259
SccIndex,33554432,1,5112257438,6563525.488874256,152
SccIndex,33554432,4,1330658252,25216415.972746696,158
SccIndex,33554432,8,699725364,47953716.8814135,166
SccIndex,33554432,12,499630622,67158477.7283727,178
SccIndex,33554432,16,435347886,77074985.4979197,207
SccIndex,33554432,20,480626490,69813946.37653035,286
SccIndex,33554432,24,385259774,87095602.14817548,275
SccIndex,33554432,28,347847037,96463181.8899179,290
SccIndex,33554432,32,317537482,105670775.58421907,302
