name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2826374942,11871896.931076031,84
DashMap,33554432,4,927406670,36180925.89306048,110
DashMap,33554432,8,537502022,62426615.392341726,128
DashMap,33554432,12,457404373,73358354.18434009,163
DashMap,33554432,16,383716805,87445823.48953937,182
DashMap,33554432,20,383206040,87562377.67024757,228
DashMap,33554432,24,355413490,94409562.22567691,254
DashMap,33554432,28,325960964,102940031.80086312,272
DashMap,33554432,32,310309484,108132151.0624535,295
Papaya,33554432,1,4349620376,7714335.757930522,129
Papaya,33554432,4,1295638759,25897984.115493722,154
Papaya,33554432,8,717517002,46764650.74203217,171
Papaya,33554432,12,529020125,63427515.163057365,189
Papaya,33554432,16,469472989,71472550.68171771,223
Papaya,33554432,20,438668014,76491631.32281625,261
Papaya,33554432,24,410690987,81702382.2341638,293
Papaya,33554432,28,398935487,84109920.2588613,332
Papaya,33554432,32,346011251,96974973.79933463,329
SccMap,33554432,1,4291166186,7819420.303383235,127
SccMap,33554432,4,1150715831,29159616.211102597,137
SccMap,33554432,8,601449145,55789308.67047787,143
SccMap,33554432,12,421569748,79594022.48189782,150
SccMap,33554432,16,347883397,96453099.77239299,165
SccMap,33554432,20,343468725,97692830.69368252,204
SccMap,33554432,24,318394498,105386343.70497192,227
SccMap,33554432,28,279231797,120166945.027396,233
SccMap,33554432,32,277214139,121041560.58216062,264
SccIndex,33554432,1,5054897707,6638004.158528068,150
SccIndex,33554432,4,1314343565,25529422.362257317,156
SccIndex,33554432,8,707678998,47414763.042042404,168
SccIndex,33554432,12,490619293,68391994.5235419,175
SccIndex,33554432,16,385997498,86929143.77388011,184
SccIndex,33554432,20,407276633,82387324.19495326,242
SccIndex,33554432,24,379681276,88375261.36000448,271
SccIndex,33554432,28,316577840,105991095.27059759,264
SccIndex,33554432,32,333759837,100534660.79563072,318
