name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2851195024,11768550.280691007,84
DashMap,33554432,4,955700335,35109783.65409907,113
DashMap,33554432,8,560341833,59882075.59009788,133
DashMap,33554432,12,430131962,78009622.54462737,153
DashMap,33554432,16,370103989,90662173.32772385,176
DashMap,33554432,20,389789476,86083473.4286156,232
DashMap,33554432,24,341043414,98387567.7481929,243
DashMap,33554432,28,318277722,105425009.9226235,265
DashMap,33554432,32,300566265,111637385.51962909,286
Papaya,33554432,1,4605293333,7286057.493788746,137
Papaya,33554432,4,1359778875,24676388.65179458,162
Papaya,33554432,8,872017280,38479090.689578995,207
Papaya,33554432,12,640151660,52416378.95619922,228
Papaya,33554432,16,499789664,67137106.7009501,238
Papaya,33554432,20,476965128,70349864.235777,284
Papaya,33554432,24,424079987,79122884.90048459,303
Papaya,33554432,28,377224271,88950883.01462978,314
Papaya,33554432,32,559253603,59998597.809659526,533
SccMap,33554432,1,4319028403,7768976.924692848,128
SccMap,33554432,4,1177667985,28492268.132770885,140
SccMap,33554432,8,611666432,54857403.06245872,145
SccMap,33554432,12,433104947,77474137.00171843,154
SccMap,33554432,16,355394307,94414658.13913558,169
SccMap,33554432,20,360827341,92993041.78837156,215
SccMap,33554432,24,322776669,103955568.11449714,230
SccMap,33554432,28,286158451,117258224.88464618,238
SccMap,33554432,32,287569776,116682749.024362,274
SccIndex,33554432,1,5178725336,6479283.959461178,154
SccIndex,33554432,4,1352817660,24803366.33098063,161
SccIndex,33554432,8,732163297,45829164.255416095,174
SccIndex,33554432,12,579252525,57927122.54469672,207
SccIndex,33554432,16,465112964,72142542.98876089,221
SccIndex,33554432,20,433685190,77370481.56982256,258
SccIndex,33554432,24,367558993,91289922.540407,262
SccIndex,33554432,28,336222657,99798247.68323094,280
SccIndex,33554432,32,312777711,107278846.34976435,298
