name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,4110904889,8162298.303175361,122
DashMap,33554432,4,1418100380,23661535.158745248,169
DashMap,33554432,8,773196301,43397041.54896106,184
DashMap,33554432,12,573188716,58539938.17980185,204
DashMap,33554432,16,498492468,67311813.42543374,237
DashMap,33554432,20,522861317,64174630.84192935,311
DashMap,33554432,24,479700110,69948768.61712623,343
DashMap,33554432,28,435583073,77033369.93538314,363
DashMap,33554432,32,403444878,83169805.4176313,384
Papaya,33554432,1,5063285195,6627008.100024672,150
Papaya,33554432,4,1544915989,21719259.972006153,184
Papaya,33554432,8,811021042,41373072.04416528,193
Papaya,33554432,12,603631198,55587637.13866227,215
Papaya,33554432,16,491598314,68255791.45497233,234
Papaya,33554432,20,531251815,63161067.97677482,316
Papaya,33554432,24,442828673,75772943.45617047,316
Papaya,33554432,28,404722185,82907320.73409814,337
Papaya,33554432,32,380106368,88276426.87638424,362
SccMap,33554432,1,4952547321,6775186.550509287,147
SccMap,33554432,4,1341387500,25014719.460260365,159
SccMap,33554432,8,826221766,40611895.475046106,196
SccMap,33554432,12,596686553,56234603.96634748,213
SccMap,33554432,16,458404091,73198369.42729205,218
SccMap,33554432,20,427591950,78473020.83212745,254
SccMap,33554432,24,390601159,85904588.93134007,279
SccMap,33554432,28,331953091,101081848.33862565,277
SccMap,33554432,32,304437473,110217811.45844683,290
SccIndex,33554432,1,6057550901,5539273.635234452,180
SccIndex,33554432,4,1626355159,20631675.56871875,193
SccIndex,33554432,8,981771830,34177423.892881505,234
SccIndex,33554432,12,584213364,57435235.25422126,208
SccIndex,33554432,16,498705754,67283025.57343262,237
SccIndex,33554432,20,475092864,70627101.65227823,283
SccIndex,33554432,24,430230396,77991774.43520285,307
SccIndex,33554432,28,372395447,90104302.48359078,310
SccIndex,33554432,32,399478023,83995689.5451042,380
