name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3296081910,10180096.525574513,98
DashMap,33554432,4,1127469205,29760841.228475064,134
DashMap,33554432,8,661752970,50705374.2425969,157
DashMap,33554432,12,502225723,66811456.40961126,179
DashMap,33554432,16,444977961,75406952.57039933,212
DashMap,33554432,20,408978677,82044453.38356845,243
DashMap,33554432,24,382686357,87681286.2184162,273
DashMap,33554432,28,353820122,94834719.43407446,295
DashMap,33554432,32,313057765,107182877.25589557,298
Papaya,33554432,1,5407275194,6205423.3964701,161
Papaya,33554432,4,1484790148,22598770.63785582,177
Papaya,33554432,8,803103675,41780946.89953946,191
Papaya,33554432,12,588390039,57027532.37805918,210
Papaya,33554432,16,460015230,72942002.3767474,219
Papaya,33554432,20,458452661,73190614.54853243,273
Papaya,33554432,24,379487716,88420337.69546312,271
Papaya,33554432,28,345264001,97184855.3652137,288
Papaya,33554432,32,324744746,103325557.72896169,309
SccMap,33554432,1,4060558015,8263502.670334339,121
SccMap,33554432,4,1119891688,29962211.845615555,133
SccMap,33554432,8,692134680,48479628.27119138,165
SccMap,33554432,12,443098944,75726725.27064294,158
SccMap,33554432,16,359904021,93231611.88021292,171
SccMap,33554432,20,363967832,92190652.71680383,216
SccMap,33554432,24,323389315,103758629.13095938,231
SccMap,33554432,28,381764352,87893046.65093508,318
SccMap,33554432,32,302757267,110829485.06071697,288
SccIndex,33554432,1,4961486373,6762979.77610106,147
SccIndex,33554432,4,1331731900,25196086.38946022,158
SccIndex,33554432,8,646336391,51914811.647979766,154
SccIndex,33554432,12,451164133,74373004.2919879,161
SccIndex,33554432,16,359148251,93427802.88243699,171
SccIndex,33554432,20,409272462,81985560.0252919,243
SccIndex,33554432,24,357967603,93735946.26662345,256
SccIndex,33554432,28,331274661,101288857.70710969,276
SccIndex,33554432,32,304027471,110366447.77405658,289
