name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3029445083,11076098.453902885,90
DashMap,33554432,4,970185055,34585599.754471585,115
DashMap,33554432,8,593162436,56568706.92330895,141
DashMap,33554432,12,488738088,68655242.60102274,174
DashMap,33554432,16,432196102,77637053.74649584,206
DashMap,33554432,20,388763306,86310697.23437326,231
DashMap,33554432,24,370001772,90687219.7358017,264
DashMap,33554432,28,333406122,100641319.35765713,278
DashMap,33554432,32,304858710,110065518.54792012,290
Papaya,33554432,1,5221503359,6426201.362518362,155
Papaya,33554432,4,1476701755,22722551.717966907,176
Papaya,33554432,8,770028815,43575553.72781732,183
Papaya,33554432,12,551106041,60885618.19992824,197
Papaya,33554432,16,445015527,75400587.09007697,212
Papaya,33554432,20,421545873,79598530.43087436,251
Papaya,33554432,24,393947695,85174840.27924062,281
Papaya,33554432,28,340194863,98632976.71252607,283
Papaya,33554432,32,316608581,105980804.10208465,301
SccMap,33554432,1,3996220470,8396541.745355707,119
SccMap,33554432,4,1075166736,31208584.563203976,128
SccMap,33554432,8,581625680,57690767.71163198,138
SccMap,33554432,12,399462503,83998952.96305194,142
SccMap,33554432,16,317295310,105751427.58964826,151
SccMap,33554432,20,334836651,100211347.53256148,199
SccMap,33554432,24,291490698,115113217.09483849,208
SccMap,33554432,28,252548124,132863517.13307521,210
SccMap,33554432,32,269773504,124380013.24251622,257
SccIndex,33554432,1,4680652631,7168750.737401175,139
SccIndex,33554432,4,1315133976,25514078.878911115,156
SccIndex,33554432,8,638423371,52558276.41059212,152
SccIndex,33554432,12,442490965,75830773.17748171,158
SccIndex,33554432,16,383128689,87580055.90126924,182
SccIndex,33554432,20,380008725,88299109.44807912,226
SccIndex,33554432,24,346282613,96898980.02473488,247
SccIndex,33554432,28,300167460,111785707.88452552,250
SccIndex,33554432,32,301042624,111460734.5436904,287
