name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3329895078,10076723.504499562,99
DashMap,33554432,4,1052670123,31875543.218015317,125
DashMap,33554432,8,649513158,51660896.452539615,154
DashMap,33554432,12,492175523,68175743.06717402,176
DashMap,33554432,16,459444827,73032560.22947887,219
DashMap,33554432,20,492966987,68066286.15071946,293
DashMap,33554432,24,578510800,58001392.54098627,413
DashMap,33554432,28,349260847,96072698.35201424,291
DashMap,33554432,32,329874747,101718704.76644881,314
Papaya,33554432,1,5281644177,6353027.745814388,157
Papaya,33554432,4,1489987149,22519947.250900753,177
Papaya,33554432,8,812106906,41317752.32065321,193
Papaya,33554432,12,586111596,57249220.505099855,209
Papaya,33554432,16,439137923,76409779.80396378,209
Papaya,33554432,20,462030519,72623843.27473399,275
Papaya,33554432,24,389762320,86089471.14231053,278
Papaya,33554432,28,433740678,77360583.64348294,361
Papaya,33554432,32,456943873,73432283.44370426,435
SccMap,33554432,1,4186165003,8015554.087321769,124
SccMap,33554432,4,1224048509,27412665.227959525,145
SccMap,33554432,8,596789143,56224937.05452681,142
SccMap,33554432,12,408820073,82076282.98133981,146
SccMap,33554432,16,361295237,92872610.99431543,172
SccMap,33554432,20,364314324,92102972.04784074,217
SccMap,33554432,24,308576505,108739425.90023178,220
SccMap,33554432,28,270563286,124016944.41277593,225
SccMap,33554432,32,255596023,131279163.13470964,243
SccIndex,33554432,1,5036864980,6661769.202318383,150
SccIndex,33554432,4,1392506591,24096425.982374396,165
SccIndex,33554432,8,661797018,50701999.38555782,157
SccIndex,33554432,12,457122358,73403611.55557393,163
SccIndex,33554432,16,399362819,84019919.74120155,190
SccIndex,33554432,20,409944395,81851178.86536783,244
SccIndex,33554432,24,353702802,94866175.24731964,252
SccIndex,33554432,28,313135339,107156324.50542416,261
SccIndex,33554432,32,319131493,105142966.88355982,304
