name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,4278013101,7843461.721086487,127
DashMap,33554432,4,1415356840,23707400.88414735,168
DashMap,33554432,8,842665353,39819403.84820829,200
DashMap,33554432,12,599080851,56009855.67138416,214
DashMap,33554432,16,523819437,64057248.79582886,249
DashMap,33554432,20,519531313,64585966.54404159,309
DashMap,33554432,24,482750525,69506774.7466458,345
DashMap,33554432,28,471771138,71124384.89189646,393
DashMap,33554432,32,424339691,79074460.18289153,404
Papaya,33554432,1,5939359407,5649503.540811738,177
Papaya,33554432,4,1673526590,20050133.771701828,199
Papaya,33554432,8,863299842,38867645.246250376,205
Papaya,33554432,12,597012597,56203892.796587005,213
Papaya,33554432,16,468860882,71565859.4866526,223
Papaya,33554432,20,499695511,67149756.7245506,297
Papaya,33554432,24,430104414,78014619.02690448,307
Papaya,33554432,28,369248400,90872247.51684774,308
Papaya,33554432,32,385081838,87135846.6924114,367
SccMap,33554432,1,4768198548,7037129.780192198,142
SccMap,33554432,4,1405330877,23876535.091600355,167
SccMap,33554432,8,693473834,48386010.19227497,165
SccMap,33554432,12,471966335,71094969.09350537,168
SccMap,33554432,16,411404046,81560772.98277226,196
SccMap,33554432,20,429825724,78065202.07245669,256
SccMap,33554432,24,379438259,88431862.63934444,271
SccMap,33554432,28,327513163,102452163.12115064,273
SccMap,33554432,32,303468838,110569613.08165683,289
SccIndex,33554432,1,5644150388,5944992.548628738,168
SccIndex,33554432,4,1540133030,21786710.20385817,183
SccIndex,33554432,8,759138002,44200701.2053126,180
SccIndex,33554432,12,524749485,63943715.923799336,187
SccIndex,33554432,16,430265424,77985425.10820019,205
SccIndex,33554432,20,465180471,72132073.661364,277
SccIndex,33554432,24,441662569,75973003.72538476,315
SccIndex,33554432,28,394013006,85160721.82652773,328
SccIndex,33554432,32,365344317,91843311.74364483,348
