name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1930793866,17378567.744010016,57
DashMap,33554432,4,638306628,52567889.04908567,76
DashMap,33554432,8,377764798,88823607.11651063,90
DashMap,33554432,12,293525648,114315161.99224949,104
DashMap,33554432,16,264799580,126716333.91563538,126
DashMap,33554432,20,259437313,129335412.90569873,154
DashMap,33554432,24,250317679,134047391.8344377,179
DashMap,33554432,28,216927951,154680076.24337906,181
DashMap,33554432,32,201855854,166229670.0099666,192
Papaya,33554432,1,2181032560,15384654.321712647,64
Papaya,33554432,4,581532233,57700038.0991779,69
Papaya,33554432,8,299771325,111933427.92210029,71
Papaya,33554432,12,215291089,155856111.62940422,76
Papaya,33554432,16,198149377,169339073.92502174,94
Papaya,33554432,20,173313139,193605817.7331841,103
Papaya,33554432,24,164911744,203469026.438772,117
Papaya,33554432,28,153109261,219153510.25043482,127
Papaya,33554432,32,149005850,225188688.90046936,142
SccMap,33554432,1,3288458983,10203694.853261912,98
SccMap,33554432,4,877830308,38224280.58612896,104
SccMap,33554432,8,455595995,73649532.41083694,108
SccMap,33554432,12,528577127,63480673.46470707,189
SccMap,33554432,16,283108878,118521299.07420282,134
SccMap,33554432,20,322259646,104122351.08084244,192
SccMap,33554432,24,278232499,120598535.83099937,199
SccMap,33554432,28,226518897,148130829.0142345,189
SccMap,33554432,32,186984010,179450809.72431815,178
SccIndex,33554432,1,2683644668,12503306.566665033,79
SccIndex,33554432,4,690282648,48609699.37056856,82
SccIndex,33554432,8,368809422,90980408.84649633,87
SccIndex,33554432,12,465830661,72031394.25809501,166
SccIndex,33554432,16,189568708,177004065.46000198,90
SccIndex,33554432,20,243832250,137612772.71566826,145
SccIndex,33554432,24,248625697,134959629.69587976,177
SccIndex,33554432,28,173810636,193051661.11928847,145
SccIndex,33554432,32,167947059,199791721.2709274,160
