name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1880078786,17847354.190613158,56
DashMap,33554432,4,599595500,55961780.90062384,71
DashMap,33554432,8,382820338,87650599.16957703,91
DashMap,33554432,12,300386223,111704297.43710317,107
DashMap,33554432,16,262951348,127606997.47392055,125
DashMap,33554432,20,265407458,126426108.19172987,158
DashMap,33554432,24,261548904,128291235.35535823,187
DashMap,33554432,28,219806627,152654323.74793684,183
DashMap,33554432,32,204572528,164022179.94783738,195
Papaya,33554432,1,2041937852,16432641.163458874,60
Papaya,33554432,4,916989166,36591961.21843821,109
Papaya,33554432,8,286690389,117040658.79934329,68
Papaya,33554432,12,205257762,163474607.11376166,73
Papaya,33554432,16,191188606,175504349.87741894,91
Papaya,33554432,20,185203341,181176170.03464317,110
Papaya,33554432,24,159717802,210085736.09095874,114
Papaya,33554432,28,178466741,188015043.09421998,148
Papaya,33554432,32,152268363,220363779.70386404,145
SccMap,33554432,1,3113092138,10778489.84629057,92
SccMap,33554432,4,816869950,41076834.81317926,97
SccMap,33554432,8,432362282,77607213.66532153,103
SccMap,33554432,12,327514536,102451733.62320626,117
SccMap,33554432,16,230618267,145497719.83153442,109
SccMap,33554432,20,270163438,124200492.29607451,161
SccMap,33554432,24,239667772,140003938.45193338,171
SccMap,33554432,28,199429280,168252284.71967608,166
SccMap,33554432,32,222309732,150935506.5031521,212
SccIndex,33554432,1,2606839437,12871691.107533295,77
SccIndex,33554432,4,663958584,50536935.29775948,79
SccIndex,33554432,8,349822720,95918389.74895628,83
SccIndex,33554432,12,247332029,135665534.85072488,88
SccIndex,33554432,16,210662923,159280197.58844796,100
SccIndex,33554432,20,199578826,168126211.94595063,118
SccIndex,33554432,24,199654959,168062101.5779528,142
SccIndex,33554432,28,166330872,201733037.26803043,138
SccIndex,33554432,32,183535151,182822918.75521982,175
