name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1948782152,17218154.40764566,58
DashMap,33554432,4,683261132,49109235.73507178,81
DashMap,33554432,8,387022634,86698888.00353728,92
DashMap,33554432,12,298491786,112413250.7954507,106
DashMap,33554432,16,266475287,125919489.11194906,127
DashMap,33554432,20,248169832,135207538.037903,147
DashMap,33554432,24,251728727,133295998.43406034,180
DashMap,33554432,28,230557452,145536098.30837306,192
DashMap,33554432,32,199383045,168291300.79741734,190
Papaya,33554432,1,2122129509,15811679.663137844,63
Papaya,33554432,4,590052555,56866853.15683448,70
Papaya,33554432,8,302498166,110924414.66240162,72
Papaya,33554432,12,214347260,156542388.2721897,76
Papaya,33554432,16,156562891,214319190.10744378,74
Papaya,33554432,20,170814243,196438138.94371793,101
Papaya,33554432,24,164698349,203732655.5107119,117
Papaya,33554432,28,129879190,258351103.05199778,108
Papaya,33554432,32,117345111,285946570.027958,111
SccMap,33554432,1,3335902255,10058577.690550469,99
SccMap,33554432,4,830012773,40426404.377755284,98
SccMap,33554432,8,457886907,73281047.10362466,109
SccMap,33554432,12,334015754,100457632.90554254,119
SccMap,33554432,16,262733015,127713039.79440878,125
SccMap,33554432,20,283642078,118298498.71569477,169
SccMap,33554432,24,243144212,138002182.83625028,173
SccMap,33554432,28,202491996,165707448.5057671,168
SccMap,33554432,32,213799967,156943111.22134084,203
SccIndex,33554432,1,2608536264,12863318.199972702,77
SccIndex,33554432,4,650280292,51599952.224909194,77
SccIndex,33554432,8,357644085,93820738.0110872,85
SccIndex,33554432,12,433664773,77374124.18324326,155
SccIndex,33554432,16,352756891,95120557.12045608,168
SccIndex,33554432,20,220935791,151874134.32710865,131
SccIndex,33554432,24,228632589,146761370.05123097,163
SccIndex,33554432,28,180138698,186269981.8114595,150
SccIndex,33554432,32,221556310,151448776.15988457,211
