name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3381251528,9923672.262219233,100
DashMap,33554432,4,1041256734,32224936.371936105,124
DashMap,33554432,8,552580220,60723186.942884065,131
DashMap,33554432,12,438605248,76502577.55237803,156
DashMap,33554432,16,347803415,96475280.4396702,165
DashMap,33554432,20,384571199,87251546.88456012,229
DashMap,33554432,24,361017876,92943962.69729313,258
DashMap,33554432,28,298329460,112474416.70695211,248
DashMap,33554432,32,269097927,124692272.3414365,256
Papaya,33554432,1,2936404962,11427045.122940369,87
Papaya,33554432,4,795322806,42189701.7750048,94
Papaya,33554432,8,430461981,77949815.50298631,102
Papaya,33554432,12,298650879,112353367.62561479,106
Papaya,33554432,16,270060896,124247651.16679463,128
Papaya,33554432,20,267045337,125650694.28641625,159
Papaya,33554432,24,264067024,127067861.37749635,188
Papaya,33554432,28,186197159,180209151.311487,155
Papaya,33554432,32,163739045,204926271.55606043,156
SccMap,33554432,1,3974175808,8443117.16971732,118
SccMap,33554432,4,1053925316,31837580.41542291,125
SccMap,33554432,8,542016799,61906627.362669624,129
SccMap,33554432,12,501719110,66878919.561186336,179
SccMap,33554432,16,362866093,92470563.238875,173
SccMap,33554432,20,400619084,83756449.30584484,238
SccMap,33554432,24,315077488,106495809.05634235,225
SccMap,33554432,28,263536523,127323649.93674898,219
SccMap,33554432,32,236358200,141964323.6409822,225
SccIndex,33554432,1,3521995619,9527107.818926563,104
SccIndex,33554432,4,915505236,36651272.63127963,109
SccIndex,33554432,8,469120932,71526188.04909776,111
SccIndex,33554432,12,342547029,97955694.13623494,122
SccIndex,33554432,16,325465528,103096731.03075911,155
SccIndex,33554432,20,304947735,110033386.54081166,181
SccIndex,33554432,24,267159308,125597091.3055367,191
SccIndex,33554432,28,214979801,156081789.28400812,179
SccIndex,33554432,32,211059021,158981273.77365214,201
