name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2041291164,16437847.080202224,60
DashMap,33554432,4,660837782,50775595.63626766,78
DashMap,33554432,8,411842577,81473926.86890651,98
DashMap,33554432,12,333575728,100590148.453487,119
DashMap,33554432,16,289526326,115894234.77849817,138
DashMap,33554432,20,295659298,113490197.08488923,176
DashMap,33554432,24,267910387,125244983.50263664,191
DashMap,33554432,28,239041740,140370598.03865215,199
DashMap,33554432,32,226115952,148394802.32690525,215
Papaya,33554432,1,2571493850,13048614.52419962,76
Papaya,33554432,4,780707539,42979515.79022731,93
Papaya,33554432,8,615867141,54483231.473458335,146
Papaya,33554432,12,474718489,70682799.96989962,169
Papaya,33554432,16,361354253,92857443.1362788,172
Papaya,33554432,20,304816411,110080792.20511523,181
Papaya,33554432,24,284706714,117856131.7665308,203
Papaya,33554432,28,218008049,153913730.03847212,181
Papaya,33554432,32,215620670,155617882.08894816,205
SccMap,33554432,1,3368813058,9960312.852717515,100
SccMap,33554432,4,859156133,39055103.85270101,102
SccMap,33554432,8,483858811,69347568.41701907,115
SccMap,33554432,12,411744675,81493299.21510218,147
SccMap,33554432,16,286512930,117113150.87943849,136
SccMap,33554432,20,315122464,106480609.39254397,187
SccMap,33554432,24,257456748,130330365.23866913,184
SccMap,33554432,28,229255905,146362345.60675764,191
SccMap,33554432,32,203306445,165043621.7110579,193
SccIndex,33554432,1,3359193663,9988835.228402251,100
SccIndex,33554432,4,928208521,36149670.29590542,110
SccIndex,33554432,8,470798677,71271296.28701144,112
SccIndex,33554432,12,347202022,96642386.48932754,124
SccIndex,33554432,16,251286517,133530570.60359511,119
SccIndex,33554432,20,298197493,112524192.14671266,177
SccIndex,33554432,24,261452027,128338771.6860195,187
SccIndex,33554432,28,214959460,156096558.85812145,179
SccIndex,33554432,32,223875820,149879660.96561924,213
