name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2064194627,16255459.422819242,61
DashMap,33554432,4,684258623,49037645.81422016,81
DashMap,33554432,8,399575918,83975110.83238004,95
DashMap,33554432,12,328501419,102143948.42537954,117
DashMap,33554432,16,255219615,131472778.84577954,121
DashMap,33554432,20,297321412,112855753.55736572,177
DashMap,33554432,24,281039144,119394158.13193624,201
DashMap,33554432,28,240619371,139450252.32403255,200
DashMap,33554432,32,234516275,143079332.1273758,223
Papaya,33554432,1,2526501727,13280985.182560297,75
Papaya,33554432,4,770951945,43523376.80398484,91
Papaya,33554432,8,400488585,83783741.30189005,95
Papaya,33554432,12,333993841,100464223.8298041,119
Papaya,33554432,16,354782138,94577568.61479874,169
Papaya,33554432,20,278795223,120355118.13629605,166
Papaya,33554432,24,292440724,114739259.09169887,209
Papaya,33554432,28,181771905,184596359.9270195,151
Papaya,33554432,32,174091206,192740533.9474758,166
SccMap,33554432,1,3503556335,9577249.169592703,104
SccMap,33554432,4,861470630,38950175.23696658,102
SccMap,33554432,8,422394171,79438671.9886814,100
SccMap,33554432,12,328975855,101996640.45253412,117
SccMap,33554432,16,260773962,128672478.42788842,124
SccMap,33554432,20,260640220,128738503.980698,155
SccMap,33554432,24,246256529,136258040.0863199,176
SccMap,33554432,28,204787087,163850331.05139095,170
SccMap,33554432,32,194285048,172707227.57831576,185
SccIndex,33554432,1,3259204888,10295281.56500482,97
SccIndex,33554432,4,803828854,41743253.96883551,95
SccIndex,33554432,8,437724165,76656567.4983925,104
SccIndex,33554432,12,323713590,103654690.55531466,115
SccIndex,33554432,16,260278307,128917512.89899085,124
SccIndex,33554432,20,257475563,130320841.36077799,153
SccIndex,33554432,24,241514463,138933426.93932164,172
SccIndex,33554432,28,203132697,165184790.51159352,169
SccIndex,33554432,32,224217992,149650934.34607157,213
