name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2146080687,15635214.557988333,63
DashMap,33554432,4,654851444,51239761.79244708,78
DashMap,33554432,8,413053373,81235099.85233797,98
DashMap,33554432,12,349837212,95914416.33144504,125
DashMap,33554432,16,279940941,119862539.14892714,133
DashMap,33554432,20,299888487,111889697.18600768,178
DashMap,33554432,24,278955886,120285800.31467772,199
DashMap,33554432,28,237555584,141248761.38461977,198
DashMap,33554432,32,225671657,148686957.17513165,215
Papaya,33554432,1,2560734422,13103440.837801961,76
Papaya,33554432,4,1129836093,29698495.39051679,134
Papaya,33554432,8,615357247,54528377.07459387,146
Papaya,33554432,12,489928792,68488385.55297644,175
Papaya,33554432,16,333776184,100529737.01682682,159
Papaya,33554432,20,320260238,104772394.50499628,190
Papaya,33554432,24,421075823,79687386.84861514,301
Papaya,33554432,28,301693797,111220158.7624952,251
Papaya,33554432,32,200083835,167701863.5713375,190
SccMap,33554432,1,3320523932,10105161.922380628,98
SccMap,33554432,4,860096339,39012411.143398665,102
SccMap,33554432,8,478811544,70078577.72117542,114
SccMap,33554432,12,353204194,95000095.04417153,126
SccMap,33554432,16,275644141,121730982.1216189,131
SccMap,33554432,20,276669024,121280046.15363085,164
SccMap,33554432,24,253758914,132229569.67730403,181
SccMap,33554432,28,210164415,159658008.70713532,175
SccMap,33554432,32,189960816,176638702.16266075,181
SccIndex,33554432,1,3484391722,9629925.300344862,103
SccIndex,33554432,4,878220340,38207304.55867146,104
SccIndex,33554432,8,480565541,69822800.71554278,114
SccIndex,33554432,12,400666553,83746526.2542142,143
SccIndex,33554432,16,309998361,108240675.50473274,147
SccIndex,33554432,20,282930416,118596057.90845759,168
SccIndex,33554432,24,255059953,131555077.95455447,182
SccIndex,33554432,28,219169955,153097772.91326267,182
SccIndex,33554432,32,215131782,155971524.467733,205
