name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3454598879,9712974.841731256,102
DashMap,33554432,4,1100043664,30502818.295401774,131
DashMap,33554432,8,596536116,56248785.446546204,142
DashMap,33554432,12,473145972,70917716.69991095,169
DashMap,33554432,16,373168062,89917748.64162946,177
DashMap,33554432,20,393409996,85291254.26696073,234
DashMap,33554432,24,364128363,92150009.19881651,260
DashMap,33554432,28,313790098,106932730.55416809,261
DashMap,33554432,32,329535043,101823562.3578279,314
Papaya,33554432,1,3398917284,9872094.316020431,101
Papaya,33554432,4,1035821709,32394022.743927646,123
Papaya,33554432,8,499098118,67230131.29053715,118
Papaya,33554432,12,432639314,77557519.42598541,154
Papaya,33554432,16,284614653,117894253.32222794,135
Papaya,33554432,20,344059940,97524960.33104,205
Papaya,33554432,24,344644027,97359679.47008696,246
Papaya,33554432,28,238351153,140777300.95981535,198
Papaya,33554432,32,311125047,107848700.46158643,296
SccMap,33554432,1,3959645515,8474099.985185163,118
SccMap,33554432,4,1053218049,31858960.290187735,125
SccMap,33554432,8,584213893,57435183.24717416,139
SccMap,33554432,12,414478092,80955863.88676967,148
SccMap,33554432,16,337297592,99480200.26185067,160
SccMap,33554432,20,319880986,104896613.0171926,190
SccMap,33554432,24,309144743,108539552.29638176,221
SccMap,33554432,28,253114837,132566041.55528031,211
SccMap,33554432,32,236640434,141795007.0189611,225
SccIndex,33554432,1,4039343663,8306902.01166971,120
SccIndex,33554432,4,1052314867,31886304.234833166,125
SccIndex,33554432,8,540369843,62095308.305352636,128
SccIndex,33554432,12,501355127,66927473.54710906,179
SccIndex,33554432,16,301148238,111421644.7781441,143
SccIndex,33554432,20,339335482,98882768.76392195,202
SccIndex,33554432,24,306493157,109478568.22787073,219
SccIndex,33554432,28,244874609,137026995.72253326,204
SccIndex,33554432,32,290954048,115325537.59142062,277
